Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2/2/2014,828.99,835,814.86431,814.86431,7.24707014,5997.500075,827.5758285
2/3/2014,814.86431,819.8,803.64931,819.78,7.27266388,5897.350634,810.8927803
2/4/2014,808,819.78,799.579,802.4,11.42593687,9222.591124,807.1627936
2/5/2014,802.4,815.89934,802.4,802.5,16.58783411,13331.96939,803.7197203
2/6/2014,802.5,803.72713,767.60884,767.60884,33.59212509,26129.98727,777.8605015
2/7/2014,775.2051,775.2051,666.35039,714.12206,64.82321221,46400.43445,715.7996783
2/8/2014,711.41118,730,680.01,699.30255,31.04225383,21966.45053,707.6306589
2/9/2014,692.37535,756.0998,684.85098,689,38.29127444,27581.84144,720.3166215
2/10/2014,686.83613,748,550,690.2,29.85666843,19597.38969,656.3823334
2/11/2014,690.2,720,660,714.56111,33.33127352,23090.00298,692.7428969
2/12/2014,709.93,709.93,651.30901,670.6659,17.64185053,11958.48427,677.8474994
2/13/2014,671,680,595.6295,623.94582,44.67622419,27921.70613,624.9790943
2/14/2014,629.07483,710,586.43,670.33964,42.44993091,27538.08678,648.7192366
2/15/2014,667.04394,682.78028,646.87689,659.2834,12.18856928,8082.500003,663.1213079
2/16/2014,665.80764,668.82486,600,624.73111,21.45359725,13519.80907,630.1884439
2/17/2014,636.26205,679.05833,593.67544,638.1016,36.38625764,22913.85944,629.739383
2/18/2014,639.69685,652.50738,623,636.5201,20.84473994,13283.29393,637.2492036
2/19/2014,634.9328,640,602.90667,630.16179,13.0034361,8156.365806,627.2469633
2/20/2014,631.74114,641.3624,561.14602,561.14602,52.55553649,31683.11239,602.8501374
2/21/2014,567.26572,597.05351,547.72277,572.2744,25.78998983,14692.54231,569.6994225
2/22/2014,580.86,620.9,567.54517,610.04308,13.25737802,7930.46366,598.1924667
2/23/2014,610.11854,650.27996,600.91198,616.88,21.04015547,13068.18845,621.1070288
2/24/2014,610.97061,616.90079,540.63608,572,29.69798167,17337.6066,583.7974713
2/25/2014,565.38324,568.09339,450,535.59831,60.1436847,31042.6771,516.1419233
2/26/2014,540.89861,650,540.89861,587.27133,105.9319009,62667.8566,591.5862556
2/27/2014,599.00654,629.9,580.5,596.48629,45.76669364,27122.63844,592.6283129
2/28/2014,589.08864,599,570,573.94119,29.32087731,17063.70037,581.9641818
3/1/2014,570,605,550,575,8.04168109,4619.859356,574.4892522
3/2/2014,575,588.079,572.41339,578,2.16169433,1257.546062,581.7409265
3/3/2014,583.73562,700,583.73562,666.9435,67.8440946,42674.88092,629.0139351
3/4/2014,675,720,661.47675,680.6,27.72139328,19056.739,687.4379943
3/5/2014,680.6,690.17141,660.01,680.99,5.23012654,3521.911373,673.3893236
3/6/2014,670.01,693,660.1,666.70413,7.41231484,4972.250035,670.8093413
3/7/2014,670.0829,680.463,628.73046,636.20048,10.85544957,7104.376256,654.4525135
3/8/2014,648.91429,667.98953,623,636.0088,4.19914366,2711.86097,645.8128585
3/9/2014,642.401,658,629.05259,647.9349,2.01748158,1299.195457,643.9689313
3/10/2014,641.99,684.5,630,642.0757,6.30764832,4099.058754,649.8553099
3/11/2014,646.93423,665.93423,560,641,18.48654959,11342.80156,613.5705045
3/12/2014,648.14505,660,550.275,632.31094,8.3160946,5316.831247,639.3423238
3/13/2014,644.429,657.99101,620,653.39758,4.38727322,2836.10567,646.4392637
3/14/2014,653.39758,654.91385,550,631.23955,24.63109263,15683.18666,636.7231408
3/15/2014,631.25,646,618.29313,646,3.19846133,2040.566626,637.9838352
3/16/2014,646.0469,652,639,651.95,7.61949564,4898.741252,642.9219838
3/17/2014,641.14149,641.14149,616.00101,637.73128,1.9084555,1196.437078,626.913794
3/18/2014,628,633.989,610.01,619.78308,9.0488114,5585.01808,617.2101322
3/19/2014,622,633.663,612.22,620.062,5.52856344,3426.036968,619.6975047
3/20/2014,621.08659,625.01788,590,590,7.82790364,4715.04786,602.3385157
3/21/2014,590,615.22654,580,590,16.27100015,9667.689874,594.1669095
3/22/2014,590,596,554.05,572.29918,11.83805962,6716.211803,567.3405963
3/23/2014,576.36897,596,566.35804,568.53521,1.31873908,764.3819882,579.6309518
3/24/2014,574.22,592.53871,554.50454,585.40025,5.68481521,3251.780242,572.0115996
3/25/2014,584,591.14973,579,584,5.97791428,3489.778745,583.7786528
3/26/2014,579.05,641.14149,579,585.0851,13.08114995,7657.032117,585.348547
3/27/2014,585.1,599.27378,500.01,512.7888,35.31377035,19410.71807,549.6642777
3/28/2014,507.71418,553,500,516.48107,43.68897138,22757.80221,520.9049673
3/29/2014,511.37991,518,505,514.99,6.10790794,3123.467452,511.3808988
3/30/2014,506.17549,506.17549,436.07375,462.47601,33.23922152,15817.79983,475.8775658
3/31/2014,468.76285,530,443.35,462.38593,17.58660863,8232.05458,468.0865284
4/1/2014,465.33984,503.23111,465.2,489,20.24699944,9912.415488,489.5745425
4/2/2014,489,497.1468,443.625,443.625,12.40566408,5982.201928,482.2153727
4/3/2014,440.01,463.7,426.45421,461.85,16.79680298,7530.390144,448.3228239
4/4/2014,454.06034,550,440,458.84148,19.87883682,9151.480438,460.362974
4/5/2014,453.38455,467.85,447.56953,467.85,0.94414487,431.1217172,456.6266586
4/6/2014,467.838,469.43834,450,461.81827,5.1169521,2360.644562,461.3380222
4/7/2014,465.49125,475.32049,450,462.07946,7.08636684,3276.75995,462.4033759
4/8/2014,465.8142,465.8242,450,458.87469,3.46875095,1582.768014,456.2933566
4/9/2014,459.21387,462.09031,450,452.99853,1.13219204,516.5567594,456.2448252
4/10/2014,450.01,450.01,368.13673,371.7835,17.22029124,7187.895879,417.4084967
4/11/2014,368.10427,583.75327,353.75804,431,18.05442299,7414.760234,410.6894049
4/12/2014,431.01,450,429.01001,448,8.75071499,3913.283567,447.1958659
4/13/2014,429.00001,445.97999,407.07491,429.7899,9.31548393,3950.486295,424.0774097
4/14/2014,411.33828,480.06527,411.33828,451.05736,42.69095344,18960.52414,444.1344737
4/15/2014,472.77984,573.66927,450.49878,535.11388,31.04150095,15542.7831,500.7097797
4/16/2014,529.81309,544.56794,490.55578,523.53017,51.25685199,26832.1121,523.4834184
4/17/2014,523.53017,530.35862,495.53036,503.84789,16.07659504,8262.232195,513.9292353
4/18/2014,504.60219,515,477.19035,485.37368,31.4900663,15648.44373,496.9327019
4/19/2014,485.5939,525.28225,479.95971,504.49054,10.96943779,5512.79119,502.5591371
4/20/2014,506.21045,510,500,504.73422,1.540555,781.7484491,507.4459848
4/21/2014,507,517.31024,485,496.41683,17.33264568,8626.496161,497.7022158
4/22/2014,501.33676,510.49,484.62239,489.72443,7.48967694,3735.210346,498.7144807
4/23/2014,492.85243,497.73461,489,495.61699,7.02182626,3468.094826,493.9021129
4/24/2014,495,503.48132,490.00001,503.48132,3.58845262,1766.634704,492.3110016
4/25/2014,496.68623,496.68623,448.99999,471.43037,27.91399844,13145.82233,470.94014
4/26/2014,466.81001,472.13557,456.75,463.70172,2.84557385,1321.270285,464.3247214
4/27/2014,463.6817,463.6817,435,435,3.75205363,1689.955786,450.4082171
4/28/2014,435,455.0942,429.0854,444.09466,5.28039881,2320.246505,439.4074365
4/29/2014,444.09466,454.62328,435.6527,445.67967,7.31102956,3276.433433,448.1493893
4/30/2014,450.08456,452.82438,441.23028,448.34318,9.05765928,4071.931813,449.5567439
5/1/2014,448,464.41767,448,459.32469,14.50944605,6631.160491,457.0236843
5/2/2014,456.08044,456.08044,446.49411,455.16381,7.07584484,3197.896986,451.9456063
5/3/2014,450.279,452.07737,432.4255,441.03514,8.50354106,3757.031068,441.8195951
5/4/2014,436.71066,445.40401,431.16639,441.99999,1.77169072,771.4538009,435.4336748
5/5/2014,436.59405,439.99999,429.18,429.18,5.65738445,2449.002535,432.8860017
5/6/2014,429.18,439.68974,422.19,431.86952,5.74595495,2476.721317,431.0373713
5/7/2014,431.86951,452.74422,431.61274,441.88615,20.36100047,9150.106493,449.3937568
5/8/2014,446.26122,451.99976,441.809,448.26174,5.78832423,2576.954159,445.1986546
5/9/2014,441.809,459.22214,441.809,450.62503,4.09387172,1847.736447,451.3420481
5/10/2014,450.62503,458,446.0967,454.98804,5.47533447,2455.739917,448.5095715
5/11/2014,450.48544,450.48544,432.87805,441.49669,11.52882673,5065.613341,439.3867182
5/12/2014,437.12758,445.22171,432.21299,440.81786,7.19154535,3143.928431,437.1700765
5/13/2014,444.7599,444.7599,436.44999,440.779,4.50666206,1975.678091,438.3905571
5/14/2014,440.779,445.52,440.779,445.52,0.87112735,384.9258928,441.8709765
5/15/2014,440.89002,449.58704,440.89001,449.58704,3.01861596,1333.651947,441.8090822
5/16/2014,447.1,453.83236,447.1,453.83236,5.59012563,2517.492755,450.3463645
5/17/2014,450.53999,453.83236,446.20001,453.83236,0.20613549,92.92016099,450.7722614
5/18/2014,448.25001,453.80005,445.56,445.56,2.57977675,1151.523774,446.3656686
5/19/2014,0,0,0,0,0,0,0
5/20/2014,449.995,498.83996,449.995,493.42751,25.27530064,11926.22895,471.8530994
5/21/2014,493.77,497.66941,490.84583,494.77454,4.23843949,2092.037194,493.5866606
5/22/2014,494.77454,530,494.77454,530,32.85014711,16875.67497,513.7168767
5/23/2014,530,548.05423,515.31152,521.46849,14.81544309,7949.091558,536.5409262
5/24/2014,520.3605,529.99999,515.20587,529.99999,2.61761047,1364.125046,521.1337062
5/25/2014,529.99999,589,529.99999,574.04983,15.82522002,8890.608836,561.8000145
5/26/2014,570.88904,589.10847,563.67667,583.19989,10.94860085,6369.715038,581.783474
5/27/2014,583.2099,594.64098,538.83992,575.53537,26.97925274,15431.33761,571.9705345
5/28/2014,576.56534,589.16,565.21589,575.83232,5.44505641,3124.017534,573.7346501
5/29/2014,576.26171,576.26171,564.90155,570.4918,1.40277637,799.1217343,569.671511
5/30/2014,570.49181,628.60534,566.15006,616.0802,18.17342865,10881.48288,598.7578399
5/31/2014,611.7129,629.0355,603.86986,629.0355,19.36684462,12062.02563,622.8183198
6/1/2014,627,673.37263,621.79217,628.96746,33.09343296,21314.41388,644.0677794
6/2/2014,633.74909,672.63919,621.79217,660,12.30851363,8027.059588,652.1550716
6/3/2014,663.29883,677.90898,652.26309,671.42938,14.68401162,9784.408821,666.3307735
6/4/2014,665.4967,665.4967,525,650.47674,59.16308711,37262.1359,629.8206824
6/5/2014,650.47674,669.74995,650.44672,657.01,15.16377686,9940.399604,655.5358665
6/6/2014,657.01,660,653.40266,653.40267,5.42016939,3568.798763,658.4293785
6/7/2014,655.3008,659.8,636.68008,659.8,4.59219475,2983.915803,649.7798907
6/8/2014,650.06533,659.8,646.001,656.43773,0.90148748,590.8386877,655.4042079
6/9/2014,654.51524,655.40593,636.50109,643.43801,4.63940113,2991.776457,644.8626392
6/10/2014,643.43801,657.71523,643.43801,646.88986,7.12894414,4677.86642,656.1794184
6/11/2014,649.93241,649.93241,617.99453,617.99453,19.60375825,12480.2377,636.6247504
6/12/2014,630.34421,637.06225,552.00001,571.13506,77.29542908,47146.18425,609.9478949
6/13/2014,582.39999,617.306,572.51819,589.68386,18.1016915,10699.75087,591.0912174
6/14/2014,583.86257,600,542.96197,565.181,16.63757925,9491.758717,570.5011874
6/15/2014,573.27782,595.38177,534.2759,595.38177,34.21065485,19437.32801,568.1659148
6/16/2014,589.48399,612.91177,574.17532,597.137,10.22317044,6121.860386,598.8220995
6/17/2014,597.13702,608.98256,586.25,608.974,2.80176761,1677.67274,598.7908256
6/18/2014,609.204,625,603.41,605.88912,10.00242965,6101.710276,610.0228134
6/19/2014,603.4,627.05395,594.115,595.93062,8.40599693,5107.523791,607.6047652
6/20/2014,595.80203,602.794,578.508,593.90308,5.80965283,3433.129917,590.9354686
6/21/2014,589.92084,598.50479,581.093,590.5874,0.76420897,446.871505,584.7504054
6/22/2014,584.748,602.33414,584.748,596.23865,8.34380806,4973.510993,596.0720761
6/23/2014,590.36701,590.36701,584.42153,584.42153,2.63511541,1553.939862,589.7046695
6/24/2014,590.202,595.22794,576.12935,586.15372,2.85075357,1662.720252,583.2563955
6/25/2014,575,575.00001,557.432,564.425,29.22933529,16692.54688,571.0888297
6/26/2014,568.44301,583.2618,568.44301,575.93045,2.77356002,1596.782767,575.7159589
6/27/2014,585.51881,599.99999,575.35,597.69266,21.76241551,12711.45751,584.1014064
6/28/2014,596.77207,604.382,590.21281,590.21281,4.45696487,2660.540526,596.9399813
6/29/2014,596.05353,602.302,589.76385,589.76385,0.68059782,405.2378968,595.4146265
6/30/2014,587.724,645.00088,587.724,637,18.97691245,11843.54294,624.1027341
7/1/2014,644.9,657.83319,634.164,640,12.74856305,8199.219169,643.1484974
7/2/2014,638,658.87046,638,646.57973,24.82344188,16103.41206,648.7179393
7/3/2014,644.50278,655.08161,638.8895,647.52335,13.32045092,8644.176686,648.9402452
7/4/2014,647.52335,652.78999,622.59501,635.25253,2.95964374,1889.123524,638.2942305
7/5/2014,628.267,634.607,618,628.98732,3.74096373,2329.890593,622.8049137
7/6/2014,629.5,639.48798,629.09801,629.09801,2.24834956,1437.436977,639.3298455
7/7/2014,627.62401,638.973,614.74121,625.98859,6.4662628,4034.356277,623.9084928
